Name,Book,Notes
Sweet Potato and Blood Orange Salad with Mustard Vinaigrette,Isa does It,"Oranges and pink grapefruit are also fine"
Stone Fruit Lentil Salad with Creamy Mustard Dressing,Super Fun Times,
Caesar Salad with Garlic Croutons,Veganomicon,
Mais-und-Edamame-Sesam-Salat,Veganomicon,
Quinoa Caesar Salad,Isa Does It,
Dragon Noodle Salad,Isa Does It,
Kale Salad with Butternut Squash and Lentils,Isa Does It,
Greek Diner Salad,Isa does It,"Puree the cashews, so they become the dressing. Use black olives (only)"
Curried Kale & Quinoa Salad,I Can Cook Vegan,Small portion is fine
